food,ingredients
778,2479
758,3218
1958,578
327,2815
1858,1222
891,809
1286,2158
339,2545
327,910
2010,3004
1243,865
2853,3222
3496,3233
1820,3523
1564,2815
2798,1761
339,1862
1858,372
1181,338
327,288
2736,797
339,850
291,2754
2010,1780
3532,578
1371,2904
1619,2815
778,2545
1286,771
1347,522
1347,210
2832,1333
1958,2466
1619,1391
2010,578
2585,2462
778,1448
1181,1962
1858,1561
679,3740
1286,2432
1181,1436
1181,3078
2101,1798
2010,2158
1858,286
339,1869
742,578
778,1990
880,1470
1820,3213
2010,1049
3119,3210
3496,850
510,1760
1181,2089
1250,1387
321,3493
1695,1425
778,1760
1699,2372
1181,2643
337,1086
988,3329
3496,809
2010,908
1371,1178
1286,1049
1716,863
2798,1465
679,2754
524,2887
1699,2335
2010,759
2101,1735
1181,1233
1695,1224
291,171
1181,1086
1858,1071
778,1249
1243,1725
778,809
339,1654
339,809
1643,3485
2832,2272
339,578
719,3300
1181,1740
1820,1707
719,2786
1699,590
344,809
1716,809
1181,1007
2736,3124
3531,3222
3496,2394
1699,1086
1958,850
1347,809
339,1049
3691,848
2832,2455
988,3244
719,2355
339,522
1181,1722
1958,1598
1181,2382
1286,578
451,2675
1347,2432
758,3613
1181,1268
3496,522
2174,578
1820,287
2738,2856
3496,2353
988,1387
1181,2755
339,1448
1695,1408
2853,3230
741,1448
3496,2397
1181,1224
3532,809
679,809
1243,2920
2435,287
1699,803
2174,295
1347,340
3496,836
291,1221
2736,1771
344,2432
3496,1760
1699,1391
1181,1391
2435,288
2738,2815
339,2265
741,1962
719,2268
891,578
719,809
1243,809
2435,372
1243,559
1482,2298
339,1144
3528,2514
344,210
778,211
1181,3347
3528,590
3532,522
337,1425
3532,210
3119,3121
2736,1196
2634,2815
344,2158
1958,1605
337,1224
339,1922
337,3315
1371,1745
2435,910
337,1760
1181,2143
1820,2335
344,578
1181,722
1820,578
1699,1638
339,924
3496,1087
1181,3192
344,234
778,340
510,2545
679,1049
2853,1387
1695,1714
742,2348
1958,2640
891,3027
3532,1180
1181,3241
1820,1638
2435,1962
344,3746
2832,1104
1250,850
891,2133
679,578
778,2494
1695,2675
451,1495
1564,2335
337,2103
2798,3457
3532,2158
3496,3171
1695,340
1181,324
1371,522
339,2793
1181,1073
1181,1560
1619,2990
451,2965
679,522
339,1387
344,1180
3691,468
344,520
719,1387
337,578
778,953
1250,2468
1243,3609
1371,3411
337,2158
1858,2569
1820,3397
2736,388
3496,1304
1858,1631
2798,1638
719,1053
1619,1155
1958,621
451,1759
1181,835
291,629
778,3300
758,1224
1181,840
988,1468
1371,3223
741,1654
2634,1212
510,2348
1977,1771
327,287
679,2158
1695,3357
3532,340
451,1387
1619,269
1181,838
1181,3179
1619,1086
1181,839
339,2850
339,338
1699,722
778,3493
327,2335
1858,1180
291,578
1181,249
3528,3226
1699,2990
1243,1224
1286,3315
3496,2527
741,522
344,1049
1371,2393
321,522
891,1688
1858,809
1820,1391
1286,1226
1181,301
291,1049
3496,255
679,865
1699,578
1858,3000
1371,3181
719,578
1699,3212
3691,1495
679,210
3496,2771
3496,1182
2101,590
2736,1387
1695,1387
1181,2151
1619,1666
1958,2089
3528,206
2065,1317
3496,3609
3496,3116
3214,3345
1181,522
2633,522
1695,272
2010,2754
3496,3713
1564,2541
1695,2592
1699,2815
3496,1738
1181,928
