id,nama
49286,Yellow Iron Oxide AS GZ0183
45679,Unipure White LC982 FSP
45943,Unipure Green LC788 AS
45843,Unipure Violet LC589 AS
45736,Unipure Yellow LC182 FSP
46134,Triple Black Yellow Iron Oxide AS GZ0990
47280,Unipure Red LC384 FSP
45696,Titanium Dioxide AS GZ0981
46748,Unipure Pink LC587 AS
46298,Talc AS GZ0040
46739,Unipure Triple black LC990 FSP
45573,Titanium Oxide AS GZ0888
45692,Titanium Dioxide AS GZ0987
46122,Unipure Blue LC680 AS
41727,Sericite AS GZ0021
41726,Sericite AS GZ0020
42631,Sericite FSE FSP
42240,Sensient Technologies Corp China LTD Flavor
43458,Sericite S6 FSP
41976,Sericite 0021 FSP
39934,ST196 Orange Dye Blend
37954,Red Iron Oxide AS GZ0384
37953,Red Iron Oxide AS GZ0383
36205,Pigment Burn W8823
13639,D C Red No 6 Ba Lake K7096
13959,D C Red No 7 lake Rosinated GZ0071
13308,D C Red No 7 GZ0079
13680,D C Red No 6 Ba Lake GZ0304
13345,D C Red No 7 Lake GZ0075
11466,Covarine Black WN9798
12099,Covapearl Dore Gold 232AQ
12479,Covapearl Red AS GZ0339
11814,Covapearl Sparkling Silver 937 AQ
10861,Covapearl Light Dore AS GZ0235
11972,Covarine White WN9787
11244,Covapearl Brown AS GZ0838
11876,Covasorb green W7793
11782,Covapearl Sparkling Silver AS GZ0937
10503,Covapearl Dore Gold AS GZ0232
11675,Covapearl Pink AS GZ0433
12037,Covapearl Antique AS GZ0236
10798,Covapearl Antique Silver AS GZ 239
10469,Covapearl Dore Gold 242AQ
12594,Covarine Yellow WN1792
12205,Covasorb Blue W6796
12073,Covarine Red WN3798
10657,Covapearl Satin 931 AQ
11316,Covapearl Satin AS GZ0931
11421,Covapearl Fire Red AS GZ0333
12476,Covapearl Sparkling Gold AS GZ0238
10445,Covapearl Dore Gold AS GZ0242
11750,Covapearl Bright AS GZ0933
10610,Covasorb Yellow W1782
11041,Covapearl Silver AS GZ0939
2315,97CB0454A CM RED 50CLWS
849,97CB0885 BC Red 100CLWS
1218,97CB0713 BC Yellow 10CLWS
2539,97CB0486 MR Red 390SPWS
1345,97CB0935 CM Red 500CPWD
1646,97CB0349 CM RED 200CPWS
2392,97CB0859 Carmine L WS
2582,97CB0391 B CAROTENE 3 L WS
746,97CB0274 PR Orange 420SLWS
2189,97CA0344 RED DISPERSION OB
3209,97CC0039 LIME CENTRE DYE
1195,03285 TM Yellow 80CLWS
3369,97CB0245 Natural Yellow Color P WS
607,503750 Carbon Black
1732,97CA0712 Red Lake Dispersion OB
754,97CB0784 BC YELLOW 10CLWS
768,97CB0740 NATURAL CAROTENE EMULSION
2958,97CB0877 RR Red 500SPWS
3386,97CB0711 PR Red 1500SLOS
1663,97CB0755 TM Yellow 80CLWS
1454,97CB0947 Natural Carotene LOS
1300,97CB0789 FB Orange 30CLOS
1878,97CA3002 GREEN LAKE DISPERSION OB
3193,97CB0836 CM RED 50CLWS
718,601632 Euroblend Green
1731,03465C CM RED 35CLWS
2655,97CB0416 PAPRIKA EXTRACT
3144,97CA0010 BLACK DISPERSION SB
1537,97CC0040 GRAPE CENTRE COLOR
1421,97CB0775 TM Yellow 80CLWS
3503,65477 PECTIN POLISH
1923,035 HEXABLEND GREEN 035
2377,97CB0595 BC Orange 100CPWS
632,97CB0926 BC Yellow 50CLWS
3205,97CB0690 CARMINE LIQUID 5 
1649,03030C BC Orange 20CLWS
1686,97CC0038 LEMON CENTRE DYE
3416,97CC0214 BROWN SHADE R 
2285,97CA0105 Yellow Dispersion OB
2654,97CA0547 Chocolate Brown Lake Dispersion OB
2434,97CB0772 CARMINE L WS
3126,05038C Herc Cocoline Brown 640
3534,05058C Nut Brown Shade R 
1363,97CB0477 PR Orange 300SLWS
1668,97CB0773 TURMERIC L WS
1370,97CB0747 TM Yellow 80CLWS
1125,97CA0305 BLUE LAKE DISPERSION SB
7433,Brun Somebre W8809
6215,Black Iron Oxide AS GZ0989
9590,Carmin Covalac W3508
44304,TEXAS Saus Tomat Texas Tomato Sauce 
44612,TEXAS Sambal TEXAS Chili Sauce 
42788,Saus Tomat Fast Food Tomato Sauce Fast Food 
41660,Sari kecap Basic Soy Sauce 
42246,Sambal Type D Chili Sauce Type D 
41973,Sirup Marjan Rasa Melon
43064,Sirup Marjan Rasa Ros
42020,Sirup Rasa Vanili
43028,Saus Manis Sweet Sauce 
41194,SINSIN Vinegar
39631,SINSIN Garlic Chili Sauce Mc D
39819,SINSIN Garlic Chili Sauce
40594,SINSIN Chili Sauce
39974,SINSIN Ginger Garlic Chili Sauce
39548,SRI RAJA Sambal
35166,PIZZA HUT Sambal PIZZA HUT Chili Sauce 
34714,OLAGA Kecap Manis
30935,Marjan Sirup Rasa Strawberi
28420,MC DONALD Saus Tomat MC DONALD Tomato Sauce 
28134,MC DONALD Sambal MC DONALD Chili Sauce 
26433,LOL Sari Buah Apel Nanas Markisa Berkarbonasi LOL Apple Pineapple Passionfruit 
25654,LOL Sari Buah Apel Raspberry Berkarbonasi LOL Apple Raspberry 
25510,LOL Sari Buah Apel Blackcurrant Berkarbonasi LOL Apple Blackcurrant 
24198,Kecap Asin Special Special Salty Soy Sauce 
24796,Kecap Manis Special Special Sweet Soy Sauce 
19832,HOKBEN Saus Tomat HOKBEN Tomato Sauce 
20307,HOKI Sambal
19093,HOKI Kecap Manis HOKI Sweet Soy Sauce 
20576,HEINZ Sambal HEINZ Chili Sauce 
19267,HEINZ Tomato Ketchup
19980,HOKBEN Sambal HOKBEN Chili Sauce 
10331,CAP SOTO Kecap Manis CAP SOTO Sweet Soy Sauce 
10026,CAPUCINI Minuman Kopi Krim CAPUCINI Coffe Cream 
9589,CFC Sambal CFC Chili Sauce 
9353,CAPUCINI Minuman Kopi Cokelat CAPUCINI Coffe Chocolate 
9650,CAPUCINI Minuman Kopi Espresso Capucini Coffe Espresso 
6867,Bali s Best Sweet Soy
1043,ABC Minuman Buah Leci ABC Lychee Juice 
2524,ABC SPECIAL GRADE Sirup Rasa Frambozen ABC SPECIAL GRADE Syrup Frambozen 
1197,ABC Mr JUSSIE Minuman Rasa Anggur ABC Mr JUSSIE Fruity Grape 
518,ABC Squash Berperisa Nanas ABC Squash Pineapple 
3406,ABC Mr JUSSIE Teh Beraroma Melati ABC Mr JUSSIE Tea Jasmine 
2475,ABC Sambal Ekstra Pedas ABC Extra Hot Chili Sauce 
1472,ABC SPECIAL GRADE Syrup Berperisa Anggur dan Blaccurrant ABC SPECIAL GRADE Grape Syrup and Blackcurrant 
2936,ABC Sambal Manis Pedas ABC Sweet Chili Sauce 
761,ABC Tropical Chili Sauce
441,ABC Kecap Pedas ABC Hot Soy Sauce 
1203,ABC Mr JUSSIE Milky Minuman Rasa Mangga Susu ABC Mr JUSSIE Milky Mango 
1015,ABC Minuman Sari Kacang Hijau dengan Ketan Hitam ABC Mung Bean Drink and Black Sticky Rice 
284,ABC Minuman Sari Kedelai ABC Soy Bean Drink 
2888,ABC Minuman Buah Sirsak ABC Soursop Juice 
3046,ABC Mr JUSSIE Milky Minuman Rasa Stroberi Susu ABC Mr JUSSIE Milky Strawberry 
343,ABC SPECIAL GRADE Syrup Berperisa Anggur dan Blaccurrant ABC SPECIAL GRADE Syrup Grape and Blackcurrant 
1009,ABC Mr JUSSIE Milky Minuman Rasa Jeruk Susu ABC Mr JUSSIE Milky Orange 
3220,ABC Minuman Sari Kacang Hijau ABC Mung Bean Drink 
3691,ABC Minuman Sari Kedelai
3296,ABC Sambal Hijau
1639,ABC Saus Asam Manis ABC Sweet Sour Sauce 
1898,ABC Sambal Asli ABC Original Chili Sauce 
1697,ABC Sambal Seafood ABC Seafood Chili Sauce 
2093,ABC Squash Berperisa Leci ABC Squash Lychee 
2996,ABC Minuman Asam Jawa ABC Tamarind Drink 
2301,ABC Mr JUSSIE Milky Minuman Rasa Anggur Susu ABC Mr JUSSIE Milky Grape 
3224,ABC Kecap Ekstra Pedas ABC Extra Hot Soy Sauce 
714,ABC Kecap Inggris ABC Worcestershire Sauce 
368,ABC SPECIAL GRADE Sirup Teh Rasa Leci ABC SPECIAL GRADE Syrup Lychee Tea 
3127,ABC Kecap Manis ABC Sweet Soy Sauce 
3763,ABC Squash Berperisa Anggur ABC Squash Grape 
2510,ABC Sambal Masak Balado
1310,ABC GOLD Sari Buah Jambu ABC GOLD Guava Juice 
2386,ABC Saus Tiram ABC Oyster Sauce 
3180,ABC HIFIT Minuman Sari Kacang Hijau ABC HIFIT Mung Bean Drink 
1691,ABC SPECIAL GRADE Sirup Rasa Jeruk Susu ABC SPECIAL GRADE Syrup Orange and Milk 
3128,ABC Sambal Ayam Goreng ABC Fried Chicken Chili Sauce 
418,ABC Saus Tomat ABC Tomato Sauce 
1426,ABC Kicap Manis
3587,ABC Squash Berperisa Sirsak ABC Squash Soursop 
466,ABC Minuman Buah Mangga ABC Mango Juice 
1885,ABC SPECIAL GRADE Sirup Rasa Cocopandan ABC SPECIAL GRADE Syrup Cocopandan 
1687,ABC BLACK GOLD Kecap Manis ABC BLACK GOLD Sweet Soy Sauce 
2702,ABC Squash Berperisa Cocopandan ABC Squash Cocopandan 
375,ABC Mr JUSSIE Minuman Rasa Jeruk ABC Mr JUSSIE Fruity Orange 
376,ABC SPECIAL GRADE Sirup Berperisa Mocca ABC SPECIAL GRADE Syrup Mocca 
1713,ABC Minuman Buah Jambu ABC Guava Juice 
1010,ABC Minuman Krisantemum ABC Chrysanthemum Drink 
1213,ABC Kecap Bumbu
2603,ABC Squash Berperisa Mangga ABC Squash Mango 
757,ABC Minuman Buah Apel ABC Apple Juice 
1881,ABC Kecap Asin ABC Salty Soy Sauce 
1902,ABC Mr JUSSIE Minuman Teh Rasa Lemon ABC Mr JUSSIE Tea Lemon 
932,ABC Squash Berperisa Melon ABC Squash Melon 
1766,ABC Sambal Terasi
2577,ABC TIGA CABE Sambal ABC TIGA CABE Chili Sauce 
3687,ABC Squash Berperisa Jeruk ABC Squash Orange 
1790,ABC Kecap Manis Sedang ABC Medium Sweet Soy Sauce 
2765,ABC GOLD Sari Buah Campuran Apel Anggur Blackcurrant Blueberry ABC GOLD Mix Juice
1586,ABC Mr JUSSIE Minuman Rasa Apel ABC Mr JUSSIE Fruity Apple 
2522,ABC Mr JUSSIE Minuman Rasa Leci ABC Mr JUSSIE Fruity Lychee 
1299,ABC Minuman Buah Jeruk ABC Orange Juice 
408,ABC Minyak Wijen ABC Sesame Oil 
2984,ABC SPECIAL GRADE Sirup Rasa Melon ABC SPECIAL GRADE Syrup Melon 
1297,ABC Mr JUSSIE Minuman Rasa Susu Coklat ABC Mr JUSSIE Choco 
2420,ABC Sambal Terasi Ekstra Terasi
3204,ABC Mr JUSSIE Minuman Teh Rasa Apel ABC Mr JUSSIE Tea Apple 
1703,ABC Minuman Kedelai Rasa Cokelat ABC Soy Bean Drink Chocolate 
1863,ABC SPECIAL GRADE Sirup Berperisa Stroberi ABC SPECIAL GRADE Syrup Strawberry 
841,ABC Mr JUSSIE Minuman Rasa Jambu ABC Mr JUSSIE Fruity Guava 
891,ABC Sweet Soy Sauce Kecap Manis
1860,ABC Sambal Masak
3001,ABC Mr JUSSIE Minuman Rasa Susu Coklat ABC Mr JUSSIE Chocolate Milk 
1424,ABC GOLD Sari Buah Jeruk ABC GOLD Orange Juice 
1476,ABC Sambal Bajak
1250,ACS Kue Sagon Coconut Cookies 
25519,Kripik Ikan ULIK ARTHA 
4874,Bakso Ikan ULIK ARTHA 
400,Abon Ikan ULIK ARTHA 
3762,Abon Ikan Tuna Sari Laut Tuna 
37968,Puru Puru Ko Minuman Berperisa Leci dan Melon dengan Nata de Coco
37831,Puru Puru Ko Minuman Berperisa Jeruk dan Leci dengan Nata de Coco
37521,Puru Puru Ko Minuman Berperisa Leci dan Stroberi dengan Nata de Coco
19549,Gresh Minuman Berperisa Air Kelapa
19434,Gresh Minuman Berperisa Stroberi
19169,Gresh Minuman Berperisa Jeruk Mangga Orengo 
20265,Gresh Minuman Berperisa Jeruk
19717,Gresh Minuman Berperisa Anggur
20330,Gresh Minuman Berperisa Jeruk 300 ml Doraemon 
19303,Gresh Minuman Berperisa Jeruk 200 ml Doraemon 
16865,Fruppy Minuman Sari Buah Campuran dengan Susu dan Nata de Coco Fruity Smoothie with Nata de Coco 
17039,Fruppy Minuman Sari Buah Berry dengan Susu dan Nata de Coco Berry Smoothie with Nata de Coco 
6230,Bensu Minuman Berperisa Mangga
7505,Bensu Minuman Berperisa Jeruk Yuzu
6802,Bensu Minuman Berperisa Leci
2020,7Dates Minuman Buah Kurma
49227,White toast Roti Tawar
48053,Whole Wheat Bread
49408,White toast skin off Roti Tawar Kupas
45760,Triple Chocolate Swiss Roll Cake
45179,Strawberry Cheese Swiss Roll Cake
45448,Steam Bread
44315,Swiss Roll Cake
42682,Sandroll Wijen Tanpa Pengawet
43163,Sandroll Wijen B6 
43182,Sandroll Hitam Non Wijen
43271,Sandroll Non Wijen B6 
42174,Sandroll Wijen
42458,Sandroll Non Wijen
41980,Sandroll Merah Non Wijen
43013,Sandroll Hitam Wijen
43528,Softroll
41552,Sandwich Bread Butter
