food,cert
36381,922
36748,6405
35941,1813
37089,21921
35617,1066
36465,2097
36979,1951
35553,1040
37258,2734
37041,2756
36832,2788
36232,1797
35680,5387
37249,1813
35801,3318
36452,1151
36494,3620
37173,6384
36629,3512
36903,6136
37155,11445
36185,3483
35851,3014
36330,1067
35935,3570
36151,2351
37424,1567
36554,922
36910,21921
35840,2552
35609,1061
37257,11445
35461,2035
35826,6771
36178,1797
37130,11550
36262,2734
36153,2734
35499,1066
35445,3334
35978,1943
35968,180
36302,419
36806,1956
35427,3334
36820,3535
35739,856
37054,663
35511,2631
36929,1813
36359,11550
35495,2147
37214,11550
35962,664
36908,17739
36654,873
35794,1174
35587,922
36252,1067
36911,2635
36876,1951
36505,310
35605,10713
37037,1956
35550,2352
36752,3099
36638,2734
35404,422
35911,2147
37300,1797
36737,922
35881,922
36792,1797
37354,878
36742,1960
36361,1813
35443,922
35966,37202
35727,3071
35726,3082
36475,36375
35474,2360
36643,1000
36591,21921
36897,900
35651,26737
36270,2054
36265,1813
37076,36112
36107,1312
36744,21921
36609,2351
37048,2740
36507,599
36689,2714
36518,1956
36605,3564
36040,1384
36053,3318
35585,594
35964,1340
37282,2147
36705,7585
35456,2762
36596,878
35698,3318
35694,1285
35676,25890
37252,3319
37102,2714
36399,15613
35559,428
35635,3429
36208,1529
36219,1972
36099,26767
36516,15836
36131,11445
36128,3067
36492,3318
1898,896
36071,1943
812,3430
36937,4529
37101,3798
2378,1029
36915,15836
36290,1431
3094,631
1219,827
37009,878
36097,1813
36664,7219
3454,1029
36470,1813
544,2399
36845,1676
36312,1314
37281,25890
36030,11553
35522,422
36881,1813
1779,2405
36402,1261
770,724
35884,3626
2387,2780
36880,1813
2321,689
36620,1813
36849,1335
1884,724
35760,1385
820,1025
400,673
37440,3507
36613,1789
3057,1029
35653,3318
35536,2421
37238,922
36028,922
35914,3473
2004,3430
37438,10738
1987,3430
36251,3282
967,1151
35682,27029
36022,4156
36956,922
1119,1653
77858,1382
36455,36769
1668,3309
35971,4555
35965,3602
1840,724
35720,394
37307,1813
3095,1029
37017,1813
3236,3558
35478,1797
37086,1797
35938,1174
36322,3082
35791,4979
2954,1001
37407,873
78083,2358
37335,15613
36573,3533
36267,1956
3455,877
35922,36121
37147,3626
36998,875
37330,3282
35403,3334
523,1308
35819,2147
36883,15613
35621,3336
36460,4506
37271,844
1690,1653
36169,3099
37136,4555
36980,2147
36634,5415
3742,2781
1315,1140
2872,1029
35988,3318
37094,2352
2919,2781
3126,3309
37303,36374
1705,2424
37287,3626
36313,922
36050,2749
35473,1459
37360,1813
37422,1255
36010,1675
37198,1288
224,2726
36802,1957
341,633
961,3305
36388,1562
3024,833
3591,2217
921,2146
37224,3071
36577,3460
37350,3066
1879,2137
37286,428
1125,3309
36773,11445
35715,1956
3568,2137
35677,1174
36228,21921
931,1174
245,2504
37058,1174
36964,2147
36162,15613
35685,1174
3503,3309
2362,825
35583,1813
35952,5411
37053,3251
3203,2217
35607,1956
36700,1266
36622,3319
36283,1944
36854,15613
1364,724
36427,1068
36967,36117
986,3558
36171,25890
35667,1942
