food,manufacturer
37006,885
36714,11459
36998,5396
35776,31028
35726,4242
35637,9293
35561,945
37188,709
36886,713
35428,885
35835,37019
36315,27723
36135,36646
36772,5304
35794,709
36161,709
36563,6022
35592,3408
35729,12002
35486,21192
37259,26878
37021,9445
36179,6729
37423,5964
37403,3190
35646,2857
37165,16348
37315,21192
36325,36119
36656,12378
37356,6906
37048,4833
37213,5981
36213,10156
36650,11459
37273,36555
35697,35967
36780,5827
37128,8334
36629,2753
36854,15106
35789,12378
36879,36977
36260,5185
37140,4692
36583,1350
37114,4967
35932,35967
36335,31028
36693,11232
35647,12378
35415,5170
35708,4200
37314,37416
36421,11459
36382,12378
36890,8046
76430,77863
37168,945
35709,1908
36027,12378
36264,27723
37346,5396
36007,5532
36724,11504
37424,24217
37427,356
36340,5981
37131,713
76663,77484
35848,945
36351,4591
35799,13880
36659,11459
36872,3744
35507,713
37082,885
36907,12378
36134,496
36701,3221
35876,945
35826,6251
36884,4574
36227,12378
35540,2857
37442,4242
36599,5461
36439,21192
36405,12002
37015,5304
36716,764
37201,3227
36832,17099
36777,12378
35545,36555
37025,12378
36541,35419
36321,713
36507,36155
36088,2611
37444,6729
36031,36093
35591,3501
36042,5304
36578,8298
36836,3117
36092,34598
37122,37189
35805,28680
36592,11459
36377,1504
35825,6210
3391,3373
37304,5342
35421,11459
37059,4344
2467,1662
36152,2857
37276,8303
37390,36476
37214,12353
36799,713
35656,16348
3529,3190
36588,1434
3147,3219
36876,36180
322,883
3714,3227
36513,3189
36410,5549
36403,37012
36853,5964
36154,5304
36877,5019
36887,713
36461,713
498,3221
36066,15106
37064,8359
37404,11811
35894,4778
36829,945
36831,37162
37353,15106
77298,61607
36865,7299
1176,974
35615,6595
2093,263
36270,3984
37379,9443
37093,713
1551,974
2350,3202
37116,713
2389,3194
35963,12378
35727,534
37105,7974
37100,5549
3297,1331
35795,1908
2459,974
36703,11623
36086,10160
776,3232
35476,5785
37231,5461
36376,11459
2470,1741
36532,5694
35995,7291
36104,31028
35612,10160
931,709
36798,5763
3240,709
36741,4476
36109,4442
1204,977
1817,3232
37309,21192
2843,572
37332,5254
36165,35745
36372,713
3200,883
36275,8359
37185,12378
2656,3412
37292,5037
35986,1350
2091,974
35688,12378
37097,5827
2321,1689
35583,12378
37363,945
36200,426
2313,883
36147,945
3586,1473
1310,263
36849,1473
37058,709
37234,9293
884,3202
36988,37358
294,1473
35906,6937
755,1055
35578,21192
37040,36630
36454,7552
36749,5295
1599,3232
36687,356
36452,2604
35685,709
36840,6855
36472,4084
35426,35967
36870,7052
37359,6082
3756,883
37360,12378
35436,4036
35755,5532
1282,2963
36065,4574
2690,2773
37425,5981
37372,36428
2156,3617
1005,3373
36412,4044
35677,709
35957,5763
35949,1350
950,1473
299,1202
36312,496
37069,5549
3757,1331
36361,12378
35909,5981
36533,36555
37271,4898
3346,1055
36081,3227
35506,11459
1744,2240
35823,25065
37054,37270
2223,2347
2486,3348
3204,263
36707,37396
37200,12637
35866,21192
36445,4442
3691,263
36251,8183
2601,1231
3246,560
35639,12378
36318,2871
