id,name_ing
171,grill flavour
206,seulernent
210,hydrolyzed soy
211,rosemary
228,vegetable extracts
234,extractives paprika
249,cyanocobalamin
255,green bean
269,fiber
272,Paprika
285,grapefruit juice rose
286,granulated sugar
287,Pineapple Juice
288,Orange Juice
295,beets
301,organic honey
320,Red Pepper
324,fruit juice concentrate
338,Milk
340,Vinegar
372,ground cinnamon
373,skimmed flavour
388,Sodium ascorbate
397,soy lecithincarrageenan
420,Celery
468,Vegetable Emulsifier
520,flavour seasoning
522,Citric acid
526,kidney bean
543,english walnut
559,basil
578,Water
590,fruit
621,thiamine rate
623,Calcium carbonate
629,isolated oat
722,color
759,sodium diacetate
760,hibiscus
771,beet sugar dehydrated red
797,Potassium chloride
803,grape seed
809,Salt
814,ginger puree
835,vitamin b9
836,iron
838,vitamin b1
839,vitamin b2
840,vitamin b3
848,Soya Bean
850,Wheat Flour
863,disodium
865,Lactic acid
868,cornmeal
879,alpha
904,sugar acidifying
908,flavoringlactic acid
910,Filtered Water
924,Starch
926,beech
928,Locust bean gum
929,less spices
953,arotic herb blend
991,Orange Flavour
1004,pumpkin seed
1007,Riboflavin
1037,cinnamon extract
1049,Dextrose
1050,Cornstarch
1053,Disodium guanylate
1071,unsalted butter
1073,Tapioca Starch
1086,Flavour
1087,haricot bean
1104,liquidoalicante
1124,flavours
1144,spicesacid
1149,carbono
1155,strawberry puree
1175,spirulina
1178,citrulline
1180,Brown Sugar
1182,Dried Potato
1186,Fructose
1193,sheep
1196,sodiurythorbate
1212,mushroom barley
1221,hickory flavour
1222,brown rice flour
1224,Sea Salt
1225,vegetable glycerin
1226,dehydrated toto
1233,pear
1249,cayenne
1268,pyridoxine hydrochloride
1304,Thiamin
1317,concentrated
1333,girasolconteucares
1387,Sugar
1391,vitamin
1408,white pepper
1413,pure sugar
1425,Celery Powder
1432,belly pork
1436,organic invert sugar
1448,Ascorbic acid
1465,currant juice
1468,Creamer Milk Powder
1470,dried
1495,Pandan Leaves
1517,garlic clove
1560,grain rolled oat
1561,baking
1598,yell
1601,arginine
1605,batter
1631,raw orange
1635,spinach
1638,banana puree
1654,Glucose Syrup
1666,vegetable juice
1684,Dextrin
1688,Preservative Sodium Benzoate
1707,peach puree
1714,organic sugar
1722,organic expeller pressed soybean oil
1725,expeller pressed sunflower seed oil
1734,citrate iron
1735,hull
1738,Carrot
1740,organic evaporated sugar
1745,b5
1759,Palm Sugar
1760,Onion
1761,concentrated juice
1771,bacon
1780,Rice Flour
1798,araines sesame
1859,Nature Identical Flavour Milk
1862,high oleic sunflower oil
1866,Tapioca Flour
1869,colour
1922,essential oil
1948,Disodium Inosinate
1962,apple
1990,Turmeric
1999,berry
2086,Paprika Extract
2089,Folic Acid
2103,cherry powder
2133,Soybean
2143,niacinamide
2151,evaporated apple
2158,Beef
2195,unbleached wheat flour
2225,Natural Colourant Caramel Class I-E150a
2265,Tocopherol
2268,Chili
2272,amido batata
2298,expeller pressed canola oil
2299,fridge
2335,Lemon Juice
2348,Bean
2353,sweetcorn
2355,Acetic acid
2372,dried blueberry
2381,agents
2382,Pectin
2385,extra virgin olive oil
2388,Sodium Phosphate
2393,phenylalanine
2394,oregano
2397,thyme
2401,apple raw
2432,flavouring
2455,ervar fresco
2462,apple fruit
2466,degermed yellow cornmeal
2468,Coconut
2479,sunflower seed oil
2494,tarragon
2514,aioutes
2527,Niacin
2536,blueberry puree
2541,juice lychee
2542,potassium
2543,red pepper extract
2545,Spice
2569,Lemon Peel
2592,nutmeg
2615,Black Pepper
