,0,1
0,zona keripik tempe soy bean crips ,3
1,soybean,0
2,sugar,2
3,flavor enhancer,4
4,salt,2
5,vegetable oil,0
6,water,4
7,chili,0
8,yeast,0
9,noodle bowl,3
10,red pepper oil,4
11,palm oil,4
12,potassium carbonate,0
13,kelp extract powder,4
14,glucose,0
15,green onion,0
16,beta carotene,4
17,disodium inosinate,4
18,calcium,0
19,sodium poliphospate,4
20,modified starch,4
21,wheat gluten,0
22,dextrin,0
23,beef bone extract,4
24,roasted layer,4
25,riboflavin,0
26,corn oil,0
27,wheat flour,2
28,paprika oleoresin (for color),4
29,dehydrated seaweed,0
30,yeast extract,0
31,dehydrated green onion,0
32,beef extract powder,0
33,black pepper,0
34,guar gum,0
35,red pepper,0
36,carrots,4
37,garlic powder,0
38,lecithin,0
39,sesame powder,4
40,d-sorbitiol solution,4
41,sesame oil,0
42,potato starch,0
43,wheat,0
44,corn starch syrup,4
45,whole egg liquid,4
46,disodium guanylate,0
47,corn strach,4
48,soybean oil,0
49,kopiko coffee candy,3
50,natural coffee flavour,4
51,soya lecithin,0
52,emulsifier,4
53,coffee extract,0
54,glucose syrup,0
55,butter,0
56,caramel color,0
57,good day white cappuccino,4
58,instant coffee,4
59,artificial whiite cappuccino flavour,4
60,non dairy creamer,4
61,cocoa powder,0
62,palm sugar,4
63,enriched noodle product wide egg noodles,4
64,durum semolina,4
65,folic acid,0
66,egg yolks,4
67,ferrous sulfate (iron),4
68,niacin,0
69,durum flour,4
70,thiamine mononitrate,4
71,dr mcdougall s right foods vegan noodle soup chicken,3
72,soy sauce,0
73,carrot,0
74,natural flavors,4
75,corn,0
76,semolina durum wheat,4
77,spices,0
78,garlic,0
79,thiamin mononitrate,4
80,onion,0
81,dua kelinci mix nut kacang campur ,3
82,peas,4
83,food coloring yellow fcc,4
84,peanuts,4
85,sambal balado seasoning,4
86,food coloring ponceau 4r,4
87,brilliant blue,4
88,aspartame,0
89,tartrazine,0
90,cytrus hystrix leaves,4
91,tapioca flour,0
92,broad bean,0
93,monosodium glutamate,0
94,chocopie marshmallow,3
95,dextrose,0
96,gelatin,0
97,hydrolized milk protein,4
98,raising agent,0
99,egg,0
100,flavour and flavouring,4
101,shortening,0
102,stabilizer,0
103,chocolate,0
104,high fructose corn syrup,4
105,preservative,4
106,glycerin,0
107,,1
108,aquitaine apple,0
109,milk,0
110,rice,0
111,cream,0
112,antioxidant ascor,0
113,banana,0
114,cereal,0
115,wholegrain cereal,0
116,inulin,0
117,whey powder,0
118,puffed rice,0
119,barley,0
120,wheat flakes,0
121,dried fig,0
122,malted wheat flour,0
123,oat,0
124,biscuit e,0
125,oat flakes,0
126,essoy lecithin,0
127,wholegrain rolled barley,0
128,flavour,0
129,fig,0
130,flour,0
131,wholegrain spelt,0
132,wholegrains,0
133,soy,0
134,wholegrain,0
135,raising agents,0
136,atlaqtiqufi,0
137,high,0
138,beech,0
139,preciertoute flavour,0
140,fish,0
141,norwayscotlanderateuret,0
142,thecoasells,0
143,saturated,0
144,villeneuve,0
145,citric acid,0
146,apricot,0
147,antioxidant,0
148,fruit,0
149,gelife pectin acidifying,0
150,brown sugar sugar,0
151,fat,0
152,white meat,0
153,fenugreek zrin,0
154,celgluten rd sesame sulphites poido,0
155,seafood,0
156,basti rice dish,0
157,curcumin,0
158,asala,0
